edge_id,road_name,road_class,road_surface,lanes,highway_rt,length_feature_m,length_calc_m
1293182,NA,unclassified,rough,2,NA,445.2838,445.28375308619565
1131233,NA,unclassified,rough,2,NA,376.4995,376.4995065999659
1131273,NA,unclassified,rough,2,NA,185.2071,185.20710887354994
1568336,NA,unclassified,rough,2,NA,530.7188,530.7188261713279
1495032,NA,unclassified,rough,2,NA,450.721,450.72095756832715
1123485,NA,unclassified,rough,2,NA,19.2282,19.22816702230896
1568216,NA,unclassified,rough,2,NA,599.8695,599.8695159979522
1131291,NA,unclassified,rough,2,NA,195.0386,195.03864655079417
1092751,NA,unclassified,rough,2,NA,206.6605,206.66052284646915
1131311,NA,unclassified,rough,2,NA,482.3822,482.38222784544564
1092733,NA,unclassified,rough,2,NA,277.9859,277.98592592201015
1131231,NA,unclassified,rough,2,NA,327.6061,327.6061189730223
1131359,NA,unclassified,rough,2,NA,541.4586,541.4585597630487
1092717,NA,unclassified,rough,2,NA,192.1255,192.1255255621508
1131613,NA,unclassified,rough,2,NA,167.0778,167.07778812769808
1092765,NA,unclassified,rough,2,NA,158.7327,158.73274272449652
1571736,NA,unclassified,rough,2,NA,320.9186,320.9185886829318
1131289,NA,unclassified,rough,2,NA,145.2018,145.20179629967672
1107097,NA,unclassified,rough,2,NA,495.9593,495.95934010815716
1087573,NA,unclassified,rough,2,NA,171.0099,171.00993879695264
1131523,NA,unclassified,rough,2,NA,371.3186,371.3185713890156
1092483,NA,unclassified,rough,2,NA,205.4161,205.41605651194706
1131579,NA,unclassified,rough,2,NA,318.2447,318.24468736287895
1131281,NA,unclassified,rough,2,NA,61.3097,61.30973748541956
1293150,NA,unclassified,rough,2,NA,539.5422,539.5421656729629
1572231,NA,unclassified,rough,2,NA,551.0058,551.0058345894931
1131297,NA,unclassified,rough,2,NA,363.4343,363.4343480256778
1092665,NA,unclassified,rough,2,NA,397.1503,397.1503263229544
1092679,NA,unclassified,rough,2,NA,343.3181,343.31810173380865
1092707,NA,unclassified,rough,2,NA,204.8297,204.8297429347797
1092727,NA,unclassified,rough,2,NA,106.632,106.6320158690856
1571716,NA,unclassified,rough,2,NA,534.5073,534.5072533510973
1293178,NA,unclassified,rough,2,NA,363.9347,363.93474789866025
1092711,NA,unclassified,rough,2,NA,138.938,138.93795282688836
1604309,NA,unclassified,rough,2,NA,182.5625,182.56246877904752
1083581,NA,unclassified,rough,2,NA,480.1814,480.1813680432489
1131577,NA,unclassified,rough,2,NA,136.37,136.36999212703194
2156264,Tower Ranch Blvd,restricted,loose,2,NA,597.9648,597.9648248424475
2155835,NA,resource,loose,2,NA,131.8535,131.85346641469692
2156263,Tower Ranch Blvd,restricted,loose,2,NA,38.5282,38.52824634539486
1597435,NA,unclassified,rough,2,NA,1032.3193,1032.3193368992545
1598719,NA,unclassified,rough,2,NA,205.391,205.39099982267373
2587176,NA,unclassified,rough,2,NA,243.6519,243.65190552102425
2587188,NA,unclassified,rough,2,NA,688.6572,688.6572369819751
2587180,NA,resource,paved,2,NA,723.9222,723.9222405645902
2587189,NA,unclassified,rough,2,NA,1328.962,1328.9619669080978
2587181,NA,resource,paved,2,NA,1485.3695,1485.3695068099453
2587197,NA,unclassified,rough,2,NA,926.1055,926.1054798067125
2587185,NA,resource,paved,2,NA,320.5864,320.5864455575901
2587177,NA,resource,paved,2,NA,1134.7002,1134.7001869959454
1471313,NA,unclassified,rough,2,NA,1321.1754,1321.1753608456243
2300135,Dunbar Crt,local,paved,2,NA,104.6825,104.68253067538859
