edge_id,road_name,road_class,road_surface,lanes,highway_rt,length_feature_m,length_calc_m,from,to
1293182,NA,unclassified,rough,2,NA,445.2838,445.28375308619565,9036,9052
1131233,NA,unclassified,rough,2,NA,376.4995,376.4995065999659,9043,9052
1131273,NA,unclassified,rough,2,NA,185.2071,185.20710887354994,9052,9062
1568336,NA,unclassified,rough,2,NA,530.7188,530.7188261713279,9121,9073
1495032,NA,unclassified,rough,2,NA,450.721,450.72095756832715,9091,9128
1123485,NA,unclassified,rough,2,NA,19.2282,19.22816702230896,9105,9102
1568216,NA,unclassified,rough,2,NA,599.8695,599.8695159979522,9132,9105
1131291,NA,unclassified,rough,2,NA,195.0386,195.03864655079417,9120,9105
1092751,NA,unclassified,rough,2,NA,206.6605,206.66052284646915,9102,9089
1131311,NA,unclassified,rough,2,NA,482.3822,482.38222784544564,9043,9039
1092733,NA,unclassified,rough,2,NA,277.9859,277.98592592201015,9072,9043
1131231,NA,unclassified,rough,2,NA,327.6061,327.6061189730223,9072,9089
1131359,NA,unclassified,rough,2,NA,541.4586,541.4585597630487,9113,9100
1092717,NA,unclassified,rough,2,NA,192.1255,192.1255255621508,9087,9113
1131613,NA,unclassified,rough,2,NA,167.0778,167.07778812769808,9113,9095
1092765,NA,unclassified,rough,2,NA,158.7327,158.73274272449652,9087,9075
1571736,NA,unclassified,rough,2,NA,320.9186,320.9185886829318,9012,9039
1131289,NA,unclassified,rough,2,NA,145.2018,145.20179629967672,9001,9012
1107097,NA,unclassified,rough,2,NA,495.9593,495.95934010815716,8998,9025
1087573,NA,unclassified,rough,2,NA,171.0099,171.00993879695264,8912,8935
1131523,NA,unclassified,rough,2,NA,371.3186,371.3185713890156,8918,8940
1092483,NA,unclassified,rough,2,NA,205.4161,205.41605651194706,8940,8921
1131579,NA,unclassified,rough,2,NA,318.2447,318.24468736287895,8946,8921
1131281,NA,unclassified,rough,2,NA,61.3097,61.30973748541956,8939,8938
1293150,NA,unclassified,rough,2,NA,539.5422,539.5421656729629,8938,8939
1572231,NA,unclassified,rough,2,NA,551.0058,551.0058345894931,8946,8972
1131297,NA,unclassified,rough,2,NA,363.4343,363.4343480256778,8952,8954
1092665,NA,unclassified,rough,2,NA,397.1503,397.1503263229544,8952,8972
1092679,NA,unclassified,rough,2,NA,343.3181,343.31810173380865,8985,8967
1092707,NA,unclassified,rough,2,NA,204.8297,204.8297429347797,8972,8992
1092727,NA,unclassified,rough,2,NA,106.632,106.6320158690856,8978,8976
1571716,NA,unclassified,rough,2,NA,534.5073,534.5072533510973,8976,8998
1293178,NA,unclassified,rough,2,NA,363.9347,363.93474789866025,9002,8978
1092711,NA,unclassified,rough,2,NA,138.938,138.93795282688836,8985,8981
1604309,NA,unclassified,rough,2,NA,182.5625,182.56246877904752,8998,8983
1083581,NA,unclassified,rough,2,NA,480.1814,480.1813680432489,9009,8996
1131577,NA,unclassified,rough,2,NA,136.37,136.36999212703194,8996,9001
2156264,Tower Ranch Blvd,restricted,loose,2,NA,597.9648,597.9648248424475,8851,8837
2155835,NA,resource,loose,2,NA,131.8535,131.85346641469692,8856,8851
2156263,Tower Ranch Blvd,restricted,loose,2,NA,38.5282,38.52824634539486,8850,8851
1597435,NA,unclassified,rough,2,NA,1032.3193,1032.3193368992545,8850,8942
1598719,NA,unclassified,rough,2,NA,205.391,205.39099982267373,8942,8964
