edge_id,road_name,road_class,road_surface,lanes,highway_rt,length_feature_m,length_calc_m,from,to,elev_from,geometry.x,elev_to,geometry.y,elev_diff,slope,length_3d_m
332488,Glenmore Dr,arterial,paved,2,NA,227.4608,227.46084762881503,5072,5084,1844,"c(1469684.5, 563990)",1847,"c(1469701.5, 563763)",3,0.013189083006037107,227.4806303930491
332487,Glenmore Dr,arterial,paved,2,NA,226.865,226.86498628264857,5098,5085,1851,"c(1469718.5, 563765)",1848,"c(1469702.5, 563991.5)",-3,-0.013223724159277419,226.88482100181653
332486,Mountain Ave,local,paved,2,NA,18.361,18.361046164783,5072,5085,1844,"c(1469684.5, 563990)",1848,"c(1469702.5, 563991.5)",4,0.2178525103690503,18.791700728387852
332491,Glenmore Dr,arterial,paved,2,NA,228.858,228.8580355567302,5085,5070,1848,"c(1469702.5, 563991.5)",1842,"c(1469683, 564219.5)",-6,-0.0262171261996728,228.93667342495738
465420,Tronson Dr,local,paved,2,NA,53.6768,53.676804608574194,4965,4981,1791,"c(1469450.5, 564201.5)",1802,"c(1469504, 564206)",11,0.20493023160031565,54.7923293261662
332489,Tronson Dr,local,paved,2,NA,59.0086,59.00855558293112,5036,5061,1822,"c(1469605.5, 564213.5)",1836,"c(1469664.5, 564218.5)",14,0.23725373145804732,60.646596211031266
332490,Tronson Dr,local,paved,2,NA,18.5192,18.51924418013634,5061,5070,1836,"c(1469664.5, 564218.5)",1842,"c(1469683, 564219.5)",6,0.323987304321824,19.466956747358168
390950,Glenmore Dr,arterial,paved,2,NA,262.4172,262.4171511226112,5070,5066,1842,"c(1469683, 564219.5)",1839,"c(1469679.5, 564481.5)",-3,-0.01143217959331586,262.43429883174065
465710,High Rd,collector,paved,2,NA,74.5969,74.59691846864396,4956,4980,1785,"c(1469429, 564421.5)",1801,"c(1469501.5, 564439.5)",16,0.21448607165623648,76.29351378077638
390952,turning lane,yield,paved,1,NA,68.8813,68.88133241600492,5066,5104,1839,"c(1469679.5, 564481.5)",1852,"c(1469725, 564528.5)",13,0.18873037939346518,70.09734627932907
390949,Glenmore Dr,arterial,paved,2,NA,44.3162,44.316249841384526,5066,5067,1839,"c(1469679.5, 564481.5)",1840,"c(1469680.5, 564526)",1,0.022565086251187135,44.32753094865553
332494,High Rd,collector,paved,2,NA,18.1492,18.149160163555795,5059,5067,1835,"c(1469662.5, 564523)",1840,"c(1469680.5, 564526)",5,0.27549484135581054,18.825302511311754
390945,Summit Dr,collector,paved,2,NA,44.3705,44.37048568591656,5067,5104,1840,"c(1469680.5, 564526)",1852,"c(1469725, 564528.5)",12,0.27045004837097975,45.964551558827665
390948,Glenmore Dr,arterial,paved,2,NA,45.8416,45.84157501653291,5067,5073,1840,"c(1469680.5, 564526)",1845,"c(1469684, 564571.5)",5,0.10907129604942095,46.11344706261303
390951,turning lane,yield,paved,1,NA,64.3254,64.32540458285254,5104,5073,1852,"c(1469725, 564528.5)",1845,"c(1469684, 564571.5)",-7,-0.1088217018671658,64.70515956821114
332201,Summit Dr,local,paved,2,NA,177.4646,177.4645868788524,5647,5757,1997,"c(1470595.5, 563949)",2040,"c(1470756, 564018)",43,0.24230186290267752,182.5997798357976
389679,Breckenridge Crt,local,paved,2,NA,191.0144,191.0143942414694,5756,5838,2039,"c(1470754, 564395.5)",2061,"c(1470901, 564509)",22,0.11517456622765751,192.27714062632484
389681,Breckenridge Crt,local,paved,2,NA,112.116,112.11597022120328,5838,5869,2061,"c(1470901, 564509)",2071,"c(1470965.5, 564567.5)",10,0.08919335916435576,112.56105356046443
389680,Breckenridge Crt,local,paved,2,NA,71.0188,71.01883300214513,5838,5871,2061,"c(1470901, 564509)",2072,"c(1470969, 564498.5)",11,0.15488849274202723,71.8656708101064
332194,Chilcotin Cres,local,paved,2,NA,99.7886,99.7886158525092,5864,5899,2069,"c(1470961, 563747)",2088,"c(1471023, 563815.5)",19,0.19040248066054563,101.58133614872197
354855,Dilworth Dr,strata,paved,2,NA,373.4837,373.48370111934,6148,6116,2195,"c(1471720, 564181)",2176,"c(1471649.5, 563895)",-19,-0.05087236723599055,373.9666763253118
403825,park access,recreation,loose,2,NA,60.8415,60.841515431443135,6120,6114,2178,"c(1471656.5, 564279)",2174,"c(1471640.5, 564337.5)",-4,-0.06574458199528646,60.972862816129386
403822,park access,recreation,loose,2,NA,25.8358,25.835827836538087,6132,6120,2187,"c(1471681, 564287)",2178,"c(1471656.5, 564279)",-9,-0.348353459271463,27.358545282950193
403824,park access,recreation,loose,2,NA,24.6716,24.67164364208871,6124,6120,2181,"c(1471663, 564255)",2178,"c(1471656.5, 564279)",-3,-0.12159708706566008,24.853369992864476
449499,Glacier Crt,strata,paved,2,NA,309.3764,309.3763571543104,6166,6128,2204,"c(1471772.5, 564055)",2184,"c(1471667, 563798)",-20,-0.06464618105909244,310.0221449607615
403820,Dilworth Dr,collector,paved,2,NA,140.7557,140.75568970259835,6126,6132,2183,"c(1471667.5, 564426)",2187,"c(1471681, 564287)",4,0.028418034172910313,140.812514300591
403821,Dilworth Dr,collector,paved,2,NA,113.0407,113.04074486659692,6132,6148,2187,"c(1471681, 564287)",2195,"c(1471720, 564181)",8,0.07077094201246693,113.32347506141461
332323,Mount Baldy Dr,strata,paved,2,NA,125.115,125.11504034999756,6149,6133,2196,"c(1471724, 564611.5)",2188,"c(1471688.5, 564494)",-8,-0.06394115349857821,125.37054407547858
571015,Glacier Crt,local,paved,2,NA,21.3528,21.352841543917105,6154,6144,2199,"c(1471736.5, 564100)",2192,"c(1471715.5, 564104.5)",-7,-0.32782522108839074,22.470955520396373
571014,Dilworth Dr,collector,paved,2,NA,29.0938,29.09384237246196,6147,6144,2194,"c(1471720, 564133)",2192,"c(1471715.5, 564104.5)",-2,-0.06874306852961606,29.16250441909376
435080,Dilworth Dr,collector,paved,2,NA,48.4171,48.41712261408948,6148,6147,2195,"c(1471720, 564181)",2194,"c(1471720, 564133)",-1,-0.02065385024984938,48.42744843813036
435082,Glacier Crt,local,paved,2,NA,38.622,38.62198651024934,6167,6154,2205,"c(1471774.5, 564092)",2199,"c(1471736.5, 564100)",-6,-0.1553519262508091,39.08526374476553
449501,Glacier Crt,strata,paved,2,NA,153.8771,153.87706277318279,6166,6158,2204,"c(1471772.5, 564055)",2201,"c(1471756, 563905.5)",-3,-0.01949608308043966,153.90630411942857
354461,Enterprise Way,local,paved,2,NA,279.9161,279.91611132557136,6248,6303,2249,"c(1471976.5, 563722.5)",2284,"c(1472155, 563935.5)",35,0.12503746152464723,282.0957805066032
422859,Commerce Ave,local,paved,2,NA,169.0755,169.07553826360953,6303,6358,2284,"c(1472155, 563935.5)",2319,"c(1472282, 563837)",35,0.20700806491256413,172.6601796568314
627259,NA,unclassified,rough,2,NA,594.8182,594.818220009536,6333,6170,2304,"c(1472231, 564214)",2207,"c(1471778, 564063.5)",-97,-0.16307503155912895,602.6754639566082
449502,Glacier Crt,strata,paved,2,NA,10.174,10.174032140592772,6166,6170,2204,"c(1471772.5, 564055)",2207,"c(1471778, 564063.5)",3,0.29486834310562837,10.607116950322304
579939,Glacier Crt,strata,paved,2,NA,19.2411,19.241100020636367,6170,6177,2207,"c(1471778, 564063.5)",2209,"c(1471788, 564080)",2,0.10394416108512353,19.34476492501609
449498,Glacier Crt,strata,paved,2,NA,9.0022,9.002221947940484,6181,6177,2213,"c(1471797, 564080)",2209,"c(1471788, 564080)",-4,-0.44433474570298886,9.850888284818854
449496,Glacier Crt,strata,paved,2,NA,19.4678,19.46779727995215,6177,6167,2209,"c(1471788, 564080)",2205,"c(1471774.5, 564092)",-4,-0.20546751861440338,19.874484419307898
449503,Monashee Pl,local,paved,2,NA,150.8612,150.86122672813852,6247,6274,2248,"c(1471968.5, 564261.5)",2264,"c(1472081.5, 564357)",16,0.10605773495951357,151.707316006575
449507,Monashee Pl,strata,paved,2,NA,74.6793,74.6793196428661,6278,6299,2267,"c(1472090, 564321)",2281,"c(1472149.5, 564360)",14,0.18746823172668498,75.98026574263456
449504,Monashee Pl,local,paved,2,NA,236.6046,236.60455207060264,6274,6218,2264,"c(1472081.5, 564357)",2230,"c(1471906.5, 564333)",-34,-0.14369968668165956,239.0349640963232
449505,Monashee Pl,strata,paved,2,NA,69.3085,69.30845284170907,6274,6299,2264,"c(1472081.5, 564357)",2281,"c(1472149.5, 564360)",17,0.24528032733360317,71.36288696032
449506,Monashee Pl,strata,paved,2,NA,34.7707,34.77067014951063,6299,6298,2281,"c(1472149.5, 564360)",2280,"c(1472146.5, 564394)",-1,-0.028759871342717687,34.78504711289133
428001,Christina Pl,strata,paved,2,NA,104.425,104.42498176994944,6214,6214,2228,"c(1471887, 564532)",2228,"c(1471887, 564532)",0,0,104.42498176994944
435084,Christina Pl,strata,paved,2,NA,151.3305,151.33053210516394,6178,6219,2210,"c(1471789.5, 564512.5)",2231,"c(1471907.5, 564575)",21,0.13876908848378658,152.78065959810507
435088,Christina Pl,strata,paved,2,NA,83.0738,83.07383096946916,6225,6243,2236,"c(1471911.5, 564533.5)",2246,"c(1471964.5, 564555)",10,0.12037485069967636,83.67354057253662
428000,Christina Pl,strata,paved,2,NA,24.7455,24.745504642211273,6225,6214,2236,"c(1471911.5, 564533.5)",2228,"c(1471887, 564532)",-8,-0.3232910427841295,26.00653763955709
427997,Christina Pl,strata,paved,2,NA,43.8762,43.87624912353655,6219,6225,2231,"c(1471907.5, 564575)",2236,"c(1471911.5, 564533.5)",5,0.11395686960209751,44.16022234036693
435086,Christina Pl,strata,paved,2,NA,53.6216,53.621637450385656,6219,6240,2231,"c(1471907.5, 564575)",2244,"c(1471952, 564598.5)",13,0.24243944456243943,55.17499436212569
693955,NA,unclassified,loose,1,NA,208.6918,208.6917961197296,5385,5323,1931,"c(1470159.5, 563477.5)",1923,"c(1470048.5, 563598.5)",-8,-0.03833404162859512,208.8450759957696
332198,Chilcotin Cres,local,paved,2,NA,139.8653,139.8653406751751,5588,5632,1983,"c(1470494.5, 563842)",1990,"c(1470564.5, 563742.5)",7,0.05004813891853938,140.04039960733758
332199,Bowron St,local,paved,2,NA,337.9717,337.97173031030263,5588,5781,1983,"c(1470494.5, 563842)",2044,"c(1470794, 563969.5)",61,0.18048846849999542,343.43251227707015
345100,Summit Dr,local,paved,2,NA,743.1186,743.1185965182451,5249,5602,1906,"c(1469889.5, 564538)",1984,"c(1470514.5, 564347.5)",78,0.10496305753274866,747.2009425122845
395216,turning lane,yield,paved,1,NA,88.8449,88.84494058664379,6300,6337,2282,"c(1472150.5, 563397.5)",2308,"c(1472235, 563418.5)",26,0.29264468891893913,92.57118054688654
395211,Hwy 97 N,arterial,paved,2,97,68.8428,68.84279192478178,6325,6311,2299,"c(1472223.5, 563513.5)",2290,"c(1472181.5, 563459)",-9,-0.13073264096891185,69.42859641386104
395202,Hwy 33 W,arterial,paved,2,33,54.4435,54.44354874549891,6314,6337,2292,"c(1472185.5, 563441.5)",2308,"c(1472235, 563418.5)",16,0.2938823858597717,56.74592496385547
395200,Hwy 33 W,arterial,paved,2,33,60.8053,60.80534517645066,6340,6316,2309,"c(1472249, 563427.5)",2294,"c(1472193.5, 563453)",-15,-0.2466888388919032,62.62818855776775
395213,Hwy 97 N,arterial,paved,2,97,65.622,65.62202374203343,6316,6332,2294,"c(1472193.5, 563453)",2303,"c(1472231.5, 563506.5)",9,0.1371490771967027,66.23631934218568
395215,turning lane,yield,paved,1,NA,92.8041,92.8041066654308,6340,6332,2309,"c(1472249, 563427.5)",2303,"c(1472231.5, 563506.5)",-6,-0.06465231136409375,92.99786134083222
395212,Hwy 97 N,arterial,paved,2,97,11.1212,11.121151019631595,6331,6325,2302,"c(1472230, 563522.5)",2299,"c(1472223.5, 563513.5)",-3,-0.269756250473018,11.51868048004861
395214,Hwy 97 N,arterial,paved,2,97,38.8092,38.80923375953571,6332,6342,2303,"c(1472231.5, 563506.5)",2310,"c(1472253.5, 563538.5)",7,0.1803694461831535,39.43547419522537
395389,Keehn Rd,local,paved,2,NA,14.9833,14.983324063771695,6362,6359,2321,"c(1472302, 563609)",2320,"c(1472288.5, 563615.5)",-1,-0.06674086442659999,15.016657417681204
554397,Hwy 97 N,arterial,paved,2,97,44.0082,44.008166071701325,6342,6356,2310,"c(1472253.5, 563538.5)",2317,"c(1472278.5, 563574.5)",7,0.15906138848401652,44.56140348995354
554398,Hwy 97 N,arterial,paved,2,97,41.5872,41.58718208778759,6356,6362,2317,"c(1472278.5, 563574.5)",2321,"c(1472302, 563609)",4,0.09618348248641334,41.779106189611106
465715,Bewlay Rd,local,paved,2,NA,62.9607,62.96074016560211,6268,6282,2261,"c(1472063, 560592)",2269,"c(1472115, 560557)",8,0.1270633092774648,63.46695834999864
654976,NA,unclassified,loose,1,NA,172.8484,172.84843723782635,6334,6269,2305,"c(1472233, 560123)",2262,"c(1472065.5, 560125)",-43,-0.24877285954766984,178.1167657901939
655704,NA,unclassified,loose,1,NA,183.9885,183.9885191419476,6291,6354,2275,"c(1472135, 559955.5)",2316,"c(1472270.5, 559871.5)",41,0.2228399912734142,188.50139303476465
465605,KLO Rd,collector,paved,2,NA,195.1991,195.1991062253574,6291,6334,2275,"c(1472135, 559955.5)",2305,"c(1472233, 560123)",30,0.15368922829679862,197.49098984808995
655016,NA,unclassified,paved,2,NA,131.4798,131.47982325430698,6347,6304,2313,"c(1472262, 559835)",2285,"c(1472156, 559829)",-28,-0.2129604323078734,134.428211038397
748501,NA,unclassified,paved,2,NA,49.1266,49.12659343648654,6335,6345,2306,"c(1472234, 559746)",2312,"c(1472254, 559789)",6,0.12213344301507732,49.49163750244926
465606,KLO Rd,collector,paved,2,NA,38.6969,38.69690552231485,6334,6344,2305,"c(1472233, 560123)",2311,"c(1472253, 560156.5)",6,0.15505115768339814,39.159296431409
