node_id,geometry,elev_m
1933,"c(1462763, 561662)",1
1935,"c(1462765, 562885)",2
1939,"c(1462784, 562574.5)",3
1940,"c(1462787.5, 561166)",4
1942,"c(1462791, 560846)",5
1943,"c(1462796.5, 561946)",6
1944,"c(1462797.5, 559920.5)",7
1945,"c(1462798, 562796.5)",8
1946,"c(1462798, 562834)",9
1947,"c(1462799.5, 559340.5)",10
1948,"c(1462802, 559559.5)",11
1950,"c(1462810, 559786)",12
1951,"c(1462813.5, 559332)",13
1952,"c(1462814, 562372.5)",14
1953,"c(1462816, 559539)",15
1954,"c(1462816, 559567.5)",16
1955,"c(1462816, 561601)",17
1956,"c(1462818, 559360)",18
1957,"c(1462818, 559479.5)",19
1959,"c(1462824.5, 559173.5)",20
1960,"c(1462824, 560514)",21
1961,"c(1462824, 562945.5)",22
1962,"c(1462825.5, 559341)",23
1963,"c(1462830, 558926.5)",24
1964,"c(1462831, 562964)",25
1965,"c(1462832, 563025)",26
1966,"c(1462833, 562162.5)",27
1967,"c(1462839, 558511.5)",28
1970,"c(1462844.5, 558263.5)",29
1971,"c(1462844, 563261)",30
1973,"c(1462850.5, 562478)",31
1975,"c(1462860.5, 563763)",32
1976,"c(1462868.5, 559612)",33
1977,"c(1462869.5, 559788)",34
1978,"c(1462870.5, 560534)",35
1979,"c(1462873, 561579.5)",36
1980,"c(1462874.5, 563366.5)",37
1982,"c(1462881, 563213.5)",38
1986,"c(1462886.5, 562387)",39
1992,"c(1462890, 564000.5)",40
1995,"c(1462905.5, 563960.5)",41
1997,"c(1462907, 561858.5)",42
1998,"c(1462911.5, 562013.5)",43
2000,"c(1462928, 559789.5)",44
2001,"c(1462929, 559613)",45
2002,"c(1462930.5, 563580)",46
2003,"c(1462935, 563321.5)",47
2006,"c(1462955.5, 563388.5)",48
2007,"c(1462955, 561600.5)",49
2008,"c(1462958.5, 559344.5)",50
2009,"c(1462958, 559185)",51
2010,"c(1462959, 559273.5)",52
2011,"c(1462962.5, 563652.5)",53
2012,"c(1462967.5, 563143)",54
2013,"c(1462970, 563431.5)",55
2016,"c(1462974, 563286.5)",56
2017,"c(1462979, 563064)",57
2018,"c(1462982.5, 563048.5)",58
2020,"c(1462988.5, 562777)",59
2021,"c(1462988, 562909)",60
2023,"c(1462994, 563289)",61
2028,"c(1463002, 559915.5)",62
2029,"c(1463004.5, 562706.5)",63
2030,"c(1463005.5, 559345.5)",64
2031,"c(1463005, 559791.5)",65
2032,"c(1463008, 561213)",66
2033,"c(1463009, 562009)",67
2035,"c(1463011, 560023)",68
2036,"c(1463011, 563097)",69
2037,"c(1463018, 563369.5)",70
2038,"c(1463019.5, 560227.5)",71
2039,"c(1463019, 560510)",72
2040,"c(1463020, 562901.5)",73
2042,"c(1463037, 564022.5)",74
2044,"c(1463044.5, 559614)",75
2045,"c(1463044, 560635)",76
2046,"c(1463045, 559663.5)",77
2047,"c(1463050, 560083)",78
2048,"c(1463053.5, 561754.5)",79
2049,"c(1463057.5, 563213)",80
2051,"c(1463060, 563646.5)",81
2052,"c(1463064.5, 562996)",82
2053,"c(1463066, 563194)",83
2054,"c(1463071.5, 563242)",84
2055,"c(1463071.5, 563378.5)",85
2056,"c(1463073, 563490)",86
2057,"c(1463076, 559346.5)",87
2059,"c(1463082.5, 563430)",88
2061,"c(1463083.5, 558931)",89
2062,"c(1463084.5, 562314)",90
2063,"c(1463084, 559072)",91
2064,"c(1463086.5, 562425)",92
2065,"c(1463088, 561379)",93
2067,"c(1463092.5, 559191)",94
2069,"c(1463096.5, 562769.5)",95
2070,"c(1463099, 561723)",96
2071,"c(1463107, 562681.5)",97
2073,"c(1463114, 561160.5)",98
2077,"c(1463138.5, 562063.5)",99
2081,"c(1463156.5, 558380)",100
2083,"c(1463159.5, 558250.5)",101
2085,"c(1463171.5, 560555)",102
2087,"c(1463174.5, 561551.5)",103
2089,"c(1463176, 559796)",104
2090,"c(1463179.5, 561571)",105
2091,"c(1463180.5, 561421.5)",106
2094,"c(1463201, 559349.5)",107
