node_id,x,y
1,1451799,558548.5
2,1451878.5,559860.5
3,1452132,558340
4,1452198,573161
5,1452254,571041.5
6,1452281,557267.5
7,1452340,572329
8,1452341,556869
9,1452351,552007
10,1452379,555326
11,1452389,551967.5
12,1452397,570857
13,1452449.5,573278
14,1452452,550103.5
15,1452530,550866
16,1452553.5,556637
17,1452565,550039
18,1452569.5,556539
19,1452579.5,551157.5
20,1452593.5,550418.5
21,1452636,551286.5
22,1452636,558151.5
23,1452651,551004
24,1452658.5,559445
25,1452669,550528
26,1452672,559227
27,1452673.5,571239.5
28,1452677.5,570990
29,1452677,555137
30,1452696,550914.5
31,1452696,572614
32,1452717.5,550586
33,1452725,550938.5
34,1452730.5,550434.5
35,1452738,559184
36,1452742.5,550949
37,1452745,556992.5
38,1452751,551382.5
39,1452760,556648
40,1452775,550465.5
41,1452779,556238.5
42,1452806,555688.5
43,1452817.5,550514
44,1452824.5,557028.5
45,1452828.5,550505
46,1452842.5,551509
47,1452846.5,551541.5
48,1452849,551238
49,1452854,557008
50,1452905,551519
51,1452908,550812.5
52,1452918,550994
53,1452918,565849.5
54,1452943.5,550854.5
55,1452954.5,551204.5
56,1452956.5,556656.5
57,1452977,551150.5
58,1452977,573812
59,1452980.5,556522
60,1452981,550905
61,1452986.5,573143
62,1452998,567823.5
63,1453001.5,551105
64,1453002,550843
65,1453003.5,556658.5
66,1453013,565998.5
67,1453043.5,551284
68,1453062.5,556929.5
69,1453075.5,556662
70,1453080.5,551313
71,1453085.5,551173
72,1453107,567695
73,1453115.5,555497.5
74,1453146.5,568021.5
75,1453166.5,556889
76,1453169.5,556871.5
77,1453190,566362.5
78,1453193.5,556466.5
79,1453196.5,572635.5
80,1453207,556237
81,1453208.5,551187.5
82,1453220,567720.5
83,1453231.5,555818
84,1453244.5,555606
85,1453252,551517.5
86,1453257,551247.5
87,1453263,551233.5
88,1453270,551214.5
89,1453284,551198
90,1453287,556409.5
91,1453290,551383.5
92,1453298.5,551265.5
93,1453298,553381
94,1453310.5,567608
95,1453312.5,556961
96,1453313.5,555294.5
97,1453349.5,573621.5
98,1453365.5,551388.5
99,1453375.5,557061.5
100,1453390,565612.5
101,1453399,569014
102,1453404,551751.5
103,1453446,566427.5
104,1453471.5,556000.5
105,1453475,556071.5
106,1453478,566254.5
107,1453496,552672.5
108,1453497.5,556888
109,1453512.5,566419
110,1453538,556892.5
111,1453542,556741.5
112,1453551.5,556572
113,1453563,551290.5
114,1453586.5,556073.5
115,1453593.5,551305.5
116,1453593,555998.5
117,1453598,556567.5
118,1453607.5,555845
119,1453618,555691.5
120,1453619,556896.5
121,1453640,555442.5
122,1453643,551384.5
123,1453647.5,555432
124,1453660.5,554957
125,1453668.5,556576.5
126,1453684.5,556446.5
127,1453724.5,565776.5
128,1453731,555854.5
129,1453741.5,565167
130,1453746.5,565680.5
131,1453762,565612
132,1453767,556586
133,1453768.5,551385.5
134,1453779.5,556767.5
135,1453786.5,569192.5
136,1453791.5,566123.5
137,1453821.5,573139.5
138,1453850,556285
139,1453854,567284.5
140,1453856.5,554742
141,1453870,572583
142,1453874.5,555948.5
143,1453877.5,568871.5
144,1453885.5,568775.5
145,1453903.5,554859
146,1453918.5,554336.5
147,1453918.5,556184.5
148,1453927.5,553450
149,1453929,551450
150,1453942,566739
151,1453957,554387
152,1453967.5,566993
153,1453968,551923.5
154,1453982,572815
155,1453983,555428
156,1453985.5,555154
157,1453985,555182.5
158,1453989,565404.5
159,1453991,568182.5
160,1453995,567013
161,1454000,556101.5
162,1454005.5,556008
163,1454019.5,555880
164,1454020,565709
165,1454022,567712.5
166,1454022,568012
167,1454029,566286.5
168,1454033.5,556663
169,1454042,556592
170,1454058.5,554621
171,1454059,556340.5
172,1454062.5,555392
173,1454063,556472.5
174,1454074.5,556864.5
175,1454076,555225
176,1454084.5,567929
177,1454084,566268
178,1454089.5,551506
179,1454091.5,568610
180,1454094,567278
181,1454103.5,567536.5
182,1454110.5,554777
183,1454111,567616
184,1454135,559888.5
185,1454139,556314
186,1454152.5,551531
187,1454175.5,567776
188,1454181.5,556585.5
189,1454190,567802
190,1454193,567914.5
191,1454237,558516
192,1454238.5,565655.5
193,1454241,569740.5
194,1454245.5,551995.5
195,1454272,555477.5
196,1454281,555383
197,1454283,569139
198,1454286,555329
199,1454286,559337.5
200,1454292.5,555257.5
201,1454300.5,570090.5
202,1454305,555119
203,1454306,572692.5
204,1454307.5,551548
205,1454308.5,555902.5
206,1454309.5,568110.5
207,1454311,551585
208,1454314,555023
209,1454319.5,566421.5
210,1454320.5,569980
211,1454322,554937.5
212,1454325,557455
213,1454325,565927.5
214,1454328,556111
215,1454331.5,556641
216,1454333,554818
217,1454339,567291
218,1454340,568198
219,1454344,565947
220,1454345.5,554736
221,1454347,558329.5
222,1454349.5,567146
223,1454393,570172
224,1454400,555200
225,1454403.5,555098
226,1454410.5,565776
227,1454411,559272
228,1454413.5,567420
229,1454417.5,568249
230,1454419,555032.5
231,1454439.5,557268
232,1454439.5,569858
233,1454445,554889.5
234,1454445,558232
235,1454446.5,551588
236,1454451.5,568499
237,1454458,559084.5
238,1454465.5,554789.5
239,1454466,559477
240,1454478,556139.5
241,1454487,556060.5
242,1454494,566430.5
243,1454497.5,556957.5
244,1454506.5,557639
245,1454524.5,557158
246,1454532,558949.5
247,1454543,566005.5
248,1454547.5,557246
249,1454560,556277.5
250,1454565,557527
251,1454602,556899.5
252,1454604.5,567175
253,1454623,556183.5
254,1454625.5,568588.5
255,1454625,557431.5
256,1454647,556957
257,1454695.5,561370
258,1454695.5,566069
259,1454699,557968.5
260,1454711.5,557410.5
261,1454718,567764
262,1454719,551854
263,1454725,571525.5
264,1454758,556137
265,1454758,556963.5
266,1454762.5,556909.5
267,1454769,556823
268,1454769,572232.5
269,1454770,556811
270,1454786,557177.5
271,1454790,569820.5
272,1454792,569541.5
273,1454793.5,566273.5
274,1454807.5,559877.5
275,1454813,569142
276,1454815.5,569443
277,1454816.5,566676.5
278,1454820,557557.5
279,1454820,557564
280,1454826,557516.5
281,1454827.5,556118.5
282,1454833,572274
283,1454836,556300.5
284,1454845.5,554991
285,1454853.5,567520
286,1454853,567525.5
287,1454857.5,557410
288,1454860.5,556941
289,1454861.5,555742
290,1454866,571398.5
291,1454876.5,567098.5
292,1454876,570097.5
293,1454877.5,569823.5
294,1454879,569297.5
295,1454885.5,570017
296,1454892.5,554993
297,1454892.5,567033
298,1454900.5,566730.5
299,1454902.5,565664.5
300,1454905,555289
301,1454906,557009
